AgingMOSFET0X,AgingMOSFET0Y,AgingMOSFET1X,AgingMOSFET1Y,AgingMOSFET2X,AgingMOSFET2Y,AgingMOSFET4X,AgingMOSFET4Y,AgingMOSFET5X,AgingMOSFET5Y,AgingMOSFET6X,AgingMOSFET6Y,AgingMOSFET7X,AgingMOSFET7Y
0.855563156,4.362884358,0.690685569,4.124756337,0.896782552,4.262257176,0.508633234,4.053765928,0.853273189,4.253526964,1.281496921,4.202983631,1.006700943,4.133371677
0.883042753,4.378736585,0.723317591,4.186758073,0.917392251,4.280452776,0.546417681,4.070651996,0.895408572,4.278247249,1.363935715,4.206200025,1.089139737,4.13934498
0.910522351,4.395278039,0.745644765,4.204476957,0.950760334,4.29671854,0.505198284,4.01413536,0.921972184,4.293042661,1.446374508,4.209416419,1.17157853,4.142331632
0.938001949,4.411130266,0.766254463,4.218587737,0.980595326,4.318222431,0.576187245,4.083594152,1.020440742,4.314178964,1.528813301,4.212632813,1.254017323,4.145548026
0.965481547,4.427671721,0.738774865,4.158873086,1.034180541,4.336004494,0.532677882,4.030676814,1.102879536,4.317395358,1.611252095,4.216308692,1.336456117,4.148994162
1.020440742,4.444213175,0.793734061,4.235607055,0.999831044,4.298096994,0.597451219,4.099796463,1.185318329,4.320611752,1.693690888,4.219295343,1.41889491,4.151751071
1.102879536,4.447429569,0.828083558,4.251152959,1.116619335,4.339297469,0.56015748,4.047218269,1.267757122,4.322449691,1.776129681,4.222511737,1.501333703,4.155197208
1.185318329,4.449726993,0.855563156,4.267043477,1.199058128,4.34228412,0.587637077,4.062381269,1.350195916,4.32612557,1.858568475,4.225728131,1.583772497,4.158183859
1.267757122,4.452024418,0.885986996,4.284575012,1.281496921,4.346113161,0.635726373,4.124825259,1.432634709,4.328652737,1.941007268,4.229174268,1.66621129,4.161170511
1.350195916,4.454551584,0.908232385,4.303840555,1.363935715,4.349329555,0.68038072,4.148534677,1.510951563,4.331455594,2.023446061,4.232390662,1.748650083,4.164616647
1.432634709,4.456619266,0.896782552,4.24364804,1.446374508,4.352316206,0.649466172,4.097531859,1.597512296,4.334855782,2.105884855,4.235607055,1.831088877,4.167833041
1.515073502,4.458686948,0.957085003,4.323674984,1.528813301,4.355992085,0.670075871,4.107870268,1.675829149,4.336418031,2.188323648,4.239053192,1.91352767,4.170819692
